=== RESUMO ESTATÍSTICO ===

TAREFA A - LAÇO IRREGULAR
----------------------------------------------------------------------------------------------------
          tarefa       n    k  threads      mean      std  chunk
tarefa_a_dynamic  500000 28.0        2  7.294939 0.045754   64.0
tarefa_a_dynamic  500000 28.0        4  4.194653 0.065843    1.0
tarefa_a_dynamic  500000 28.0        4  4.169758 0.056179    4.0
tarefa_a_dynamic  500000 28.0        4  4.190778 0.078107   16.0
tarefa_a_dynamic  500000 28.0        4  4.239048 0.074729   64.0
tarefa_a_dynamic  500000 28.0        8  2.846632 0.016220    1.0
tarefa_a_dynamic  500000 28.0        8  2.833671 0.020054    4.0
tarefa_a_dynamic  500000 28.0        8  2.846396 0.018704   16.0
tarefa_a_dynamic  500000 28.0        8  2.874431 0.027342   64.0
tarefa_a_dynamic  500000 28.0       16  2.607988 0.015176    1.0
tarefa_a_dynamic  500000 28.0       16  2.621095 0.015310    4.0
tarefa_a_dynamic  500000 28.0       16  2.602720 0.004828   16.0
tarefa_a_dynamic  500000 28.0       16  2.604563 0.006665   64.0
tarefa_a_dynamic 1000000 20.0        1  0.750130 0.005686    1.0
tarefa_a_dynamic 1000000 20.0        1  0.767508 0.002839    4.0
tarefa_a_dynamic 1000000 20.0        1  0.753021 0.001956   16.0
tarefa_a_dynamic 1000000 20.0        1  0.745401 0.001524   64.0
tarefa_a_dynamic 1000000 20.0        2  0.397083 0.021755    1.0
tarefa_a_dynamic 1000000 20.0        2  0.400835 0.018153    4.0
tarefa_a_dynamic 1000000 20.0        2  0.390542 0.008296   16.0
tarefa_a_dynamic 1000000 20.0        2  0.397987 0.030761   64.0
tarefa_a_dynamic 1000000 20.0        4  0.225830 0.013535    1.0
tarefa_a_dynamic 1000000 20.0        4  0.228036 0.010123    4.0
tarefa_a_dynamic 1000000 20.0        4  0.228010 0.016170   16.0
tarefa_a_dynamic 1000000 20.0        4  0.221485 0.009854   64.0
tarefa_a_dynamic 1000000 20.0        8  0.156689 0.004549    1.0
tarefa_a_dynamic 1000000 20.0        8  0.152340 0.002214    4.0
tarefa_a_dynamic 1000000 20.0        8  0.153039 0.004782   16.0
tarefa_a_dynamic 1000000 20.0        8  0.151529 0.004756   64.0
tarefa_a_dynamic 1000000 20.0       16  0.139106 0.001155    1.0
tarefa_a_dynamic 1000000 20.0       16  0.136205 0.000681    4.0
tarefa_a_dynamic 1000000 20.0       16  0.135301 0.001075   16.0
tarefa_a_dynamic 1000000 20.0       16  0.140166 0.009239   64.0
tarefa_a_dynamic 1000000 24.0        1  4.631712 0.017284    1.0
tarefa_a_dynamic 1000000 24.0        1  4.607926 0.011639    4.0
tarefa_a_dynamic 1000000 24.0        1  4.600913 0.006332   16.0
tarefa_a_dynamic 1000000 24.0        1  4.603431 0.031417   64.0
tarefa_a_dynamic 1000000 24.0        2  2.477983 0.050294    1.0
tarefa_a_dynamic 1000000 24.0        2  2.496208 0.087023    4.0
tarefa_a_dynamic 1000000 24.0        2  2.464573 0.040863   16.0
tarefa_a_dynamic 1000000 24.0        2  2.492431 0.025602   64.0
tarefa_a_dynamic 1000000 24.0        4  1.390495 0.021995    1.0
tarefa_a_dynamic 1000000 24.0        4  1.415445 0.022287    4.0
tarefa_a_dynamic 1000000 24.0        4  1.411855 0.020022   16.0
tarefa_a_dynamic 1000000 24.0        4  1.416641 0.051125   64.0
tarefa_a_dynamic 1000000 24.0        8  0.962706 0.019674    1.0
tarefa_a_dynamic 1000000 24.0        8  0.955673 0.012619    4.0
tarefa_a_dynamic 1000000 24.0        8  0.946202 0.004562   16.0
tarefa_a_dynamic 1000000 24.0        8  0.944978 0.016679   64.0
tarefa_a_dynamic 1000000 24.0       16  0.865276 0.010147    1.0
tarefa_a_dynamic 1000000 24.0       16  0.895906 0.039938    4.0
tarefa_a_dynamic 1000000 24.0       16  0.859024 0.012881   16.0
tarefa_a_dynamic 1000000 24.0       16  0.859677 0.006405   64.0
tarefa_a_dynamic 1000000 28.0        1 27.110647 0.093985    1.0
tarefa_a_dynamic 1000000 28.0        1 26.937226 0.041792    4.0
tarefa_a_dynamic 1000000 28.0        1 27.039566 0.022978   16.0
tarefa_a_dynamic 1000000 28.0        1 26.976452 0.042825   64.0
tarefa_a_dynamic 1000000 28.0        2 14.770245 0.152041    1.0
tarefa_a_dynamic 1000000 28.0        2 14.787520 0.212507    4.0
tarefa_a_dynamic 1000000 28.0        2 14.674975 0.195989   16.0
tarefa_a_dynamic 1000000 28.0        2 14.906182 0.180815   64.0
tarefa_a_dynamic 1000000 28.0        4  8.426291 0.118131    1.0
tarefa_a_dynamic 1000000 28.0        4  8.438269 0.075216    4.0
tarefa_a_dynamic 1000000 28.0        4  8.449235 0.087345   16.0
tarefa_a_dynamic 1000000 28.0        4  8.413135 0.079193   64.0
tarefa_a_dynamic 1000000 28.0        8  5.682353 0.024541    1.0
tarefa_a_dynamic 1000000 28.0        8  5.694299 0.039643    4.0
tarefa_a_dynamic 1000000 28.0        8  5.688829 0.018706   16.0
tarefa_a_dynamic 1000000 28.0        8  5.702781 0.027873   64.0
tarefa_a_dynamic 1000000 28.0       16  5.223062 0.021802    1.0
tarefa_a_dynamic 1000000 28.0       16  5.228256 0.030392    4.0
tarefa_a_dynamic 1000000 28.0       16  5.245389 0.025931   16.0
tarefa_a_dynamic 1000000 28.0       16  5.227684 0.018211   64.0
 tarefa_a_guided  100000 20.0        1  0.077477 0.001765    1.0
 tarefa_a_guided  100000 20.0        1  0.075520 0.001151    4.0
 tarefa_a_guided  100000 20.0        1  0.074840 0.001744   16.0
 tarefa_a_guided  100000 20.0        1  0.078120 0.002595   64.0
 tarefa_a_guided  100000 20.0        2  0.038912 0.000894    1.0
